split_index,c_index,ibs,c_index_std_within_split
0,0.6552,0.1727,0.0
1,0.6494,0.155,0.0
2,0.6348,0.178,0.0
3,0.6634,0.168,0.0
4,0.6444,0.1583,0.0
mean,0.6495,0.1664,0.0
std,0.0097,0.0086,0.0
